WDPAID,median,upper,lower
29355,0.328,0.418,0.259
2321,0.398,0.762,0.189
555512169,0.248,0.363,0.194
29351,0.302,0.386,0.241
9170,0.316,0.42,0.259
36585,0.328,0.479,0.198
36751,0.329,0.511,0.217
36229,0.302,0.548,0.158
36433,0.219,0.344,0.147
36611,0.367,0.504,0.204
902737,0.502,0.563,0.316
29356,0.328,0.418,0.259
29381,0.298,0.353,0.253
68154,NA,NA,NA
36367,0.206,0.274,0.154
36282,0.246,0.397,0.156
36184,0.216,0.331,0.155
29464,0.339,0.5,0.268
36431,0.237,0.371,0.147
62088,0.237,0.371,0.147
36235,0.289,0.5,0.154
36345,0.321,0.503,0.178
36204,0.307,0.533,0.179
36613,0.23,0.335,0.178
36429,0.23,0.351,0.143
36177,0.279,0.452,0.167
555547522,NA,NA,NA
36360,0.21,0.277,0.157
36545,0.266,0.324,0.158
36703,0.227,0.358,0.144
36425,0.26,0.313,0.194
36607,0.269,0.327,0.156
36178,0.372,0.627,0.213
36638,0.354,0.503,0.223
36241,0.281,0.507,0.164
36609,0.367,0.504,0.204
36575,0.281,0.382,0.177
36316,0.249,0.352,0.171
36309,0.238,0.357,0.174
36275,0.255,0.432,0.162
36278,0.255,0.432,0.162
37149,0.427,0.506,0.335
300858,0.399,0.507,0.34
36274,0.236,0.379,0.164
1293,0.403,0.482,0.253
29401,0.292,0.331,0.172
29636,0.298,0.4,0.237
300832,0.308,0.41,0.223
29508,0.363,0.486,0.286
36813,0.402,0.512,0.326
36862,0.432,0.54,0.343
7852,0.405,0.525,0.228
36727,0.405,0.525,0.228
36977,0.344,0.414,0.268
36371,0.205,0.303,0.154
36639,0.354,0.503,0.223
36819,0.377,0.456,0.328
7463,0.414,0.518,0.34
300863,0.418,0.523,0.341
36801,0.395,0.521,0.306
36405,0.345,0.496,0.19
36980,0.355,0.436,0.29
36914,0.415,0.519,0.322
36807,0.416,0.523,0.324
36992,0.315,0.424,0.244
37035,NA,NA,NA
36832,0.351,0.424,0.296
36828,0.318,0.421,0.255
36359,0.38,0.466,0.291
36594,0.325,0.49,0.199
36925,0.438,0.542,0.346
36875,0.412,0.548,0.298
36788,0.324,0.446,0.228
36990,0.346,0.462,0.286
67983,NA,NA,NA
67988,NA,NA,NA
20174,NA,NA,NA
67984,0.325,0.44,0.275
36793,0.32,0.408,0.194
36324,0.219,0.35,0.155
36352,0.328,0.447,0.194
36461,0.229,0.378,0.151
555556056,0.69,0.856,0.596
36944,0.403,0.503,0.334
