WDPAID,median,upper,lower
36870,0.536,0.864,0.308
36996,0.348,0.537,0.198
36864,0.42,0.709,0.238
37024,0.55,0.745,0.412
36252,0.37,0.52,0.258
37017,0.5,0.661,0.345
36967,0.527,0.754,0.35
37006,0.536,0.736,0.362
36956,0.527,0.754,0.35
37007,0.513,0.716,0.313
36279,0.378,0.508,0.258
36179,0.365,0.564,0.19
36924,0.489,0.762,0.316
303936,0.405,0.778,0.157
37005,0.431,0.564,0.295
300785,0.422,0.71,0.217
903112,0.34,0.436,0.208
37030,0.354,0.475,0.217
40859,0.542,0.78,0.401
36995,NA,NA,NA
36958,0.513,0.754,0.333
36959,0.486,0.699,0.277
36738,0.435,0.815,0.273
37016,0.401,0.562,0.287
342656,NA,NA,NA
300866,0.674,0.852,0.419
352623,0.655,0.99,0.211
36577,0.391,0.598,0.182
26452,0.513,0.766,0.345
12201,0.387,0.754,0.177
1048,0.403,0.786,0.204
818,0.386,0.698,0.16
124385,0.386,0.698,0.16
36667,0.263,0.364,0.134
36430,0.34,0.575,0.102
36517,0.44,0.533,0.14
36509,0.378,0.735,0.151
36735,0.435,0.815,0.273
36216,0.377,0.837,0.179
36877,0.531,0.868,0.305
29981,0.414,0.757,0.189
36795,0.433,0.779,0.231
342479,0.393,0.532,0.22
36356,0.431,0.822,0.214
36346,0.383,0.713,0.104
36494,0.324,0.535,0.165
36618,0.51,0.881,0.293
40741,0.529,0.721,0.351
28533,0.39,0.724,0.126
36307,0.441,0.537,0.262
36357,0.383,0.709,0.198
36857,0.448,0.793,0.298
36164,0.372,0.635,0.136
19249,NA,NA,NA
5179,NA,NA,NA
26552,0.475,0.879,0.201
26551,0.439,0.854,0.199
36582,0.46,0.798,0.264
20177,0.589,0.861,0.416
7414,0.575,0.837,0.422
317193,0.536,0.895,0.215
40790,0.48,0.724,0.298
40789,0.499,0.844,0.358
40791,0.562,0.795,0.379
36238,0.377,0.709,0.188
36720,0.35,0.55,0.136
36487,0.333,0.576,0.128
36486,0.333,0.576,0.128
36712,0.544,0.895,0.25
36603,0.433,0.55,0.244
36503,0.381,0.724,0.131
313440,0.352,0.637,0.122
36926,0.419,0.714,0.264
26558,0.476,0.858,0.31
29525,0.406,0.658,0.272
36504,0.334,0.629,0.118
36240,0.371,0.612,0.216
36383,0.357,0.468,0.16
36328,0.354,0.489,0.199
36894,0.522,0.811,0.335
36187,0.362,0.496,0.219
300789,0.443,0.723,0.19
1332,0.374,0.743,0.177
36534,0.378,0.749,0.181
300795,0.456,0.767,0.231
