name,country,designation,iucn_cat,WDPAID
Atakpame,TGO,Forest Reserve,Not Reported,37130
Atcherigbe,BEN,Classified Forest,Not Reported,5160
Atewa Range,GHA,Forest Reserve,Not Reported,40878
Atilakoutse,TGO,Forest Reserve,Not Reported,37131
Auchi,NGA,Forest Reserve,Not Reported,36865
Audoin,CIV,Classified Forest,Not Reported,300960
Auno,NGA,Forest Reserve,Not Reported,36442
Auro River,GHA,Forest Reserve,Not Reported,40794
Auya,NGA,Forest Reserve,Not Reported,36435
Aviele,NGA,Forest Reserve,Not Reported,36929
Awlaw-Isikwe,NGA,Forest Reserve,Not Reported,36969
Aworo,NGA,Forest Reserve,Not Reported,37039
Awura,GHA,Forest Reserve,Not Reported,40773
Ayu Hills,NGA,Forest Reserve,Not Reported,36674
Azagny,CIV,National Park,II,7522
Azarunikwia,NGA,Forest Reserve,Not Reported,36263
Azaya,NGA,Forest Reserve,Not Reported,36239
Babban Rafi,NGA,Forest Reserve,Not Reported,36181
Babbankurmi,NGA,Forest Reserve,Not Reported,36754
Bableu,CIV,Classified Forest,Not Reported,300821
Babolo,BFA,Classified Forest,Not Reported,28559
Badauri,NGA,Forest Reserve,Not Reported,36201
Badiar-sud,GIN,Classified Forest,Not Reported,29409
Badiar,GIN,National Park,II,29069
Badikaha,CIV,Classified Forest,Not Reported,29549
Badinko,MLI,Faunal Reserve,IV,2322
Badonou,CIV,Classified Forest,Not Reported,29605
Bafing,MLI,Chimpanzee Sanctuary,IV,317194
Baga,NGA,Forest Reserve,Not Reported,36224
Bagaji,NGA,Forest Reserve,Not Reported,36869
Bagata,GIN,Classified Forest,Not Reported,33510
Bagau,NGA,Forest Reserve,Not Reported,36436
Bage,NGA,Forest Reserve,Not Reported,36498
Bagele Hill,NGA,Forest Reserve,Not Reported,36704
Bagga,NGA,Forest Reserve,Not Reported,36347
Bahr Salamat,TCD,Faunal reserve,IV,5164
Baissa,NGA,Forest Reserve,Not Reported,36899
Bajiye,NGA,Forest Reserve,Not Reported,36647
Bakanbawa,NGA,Forest Reserve,Not Reported,36321
Bakin Dutse,NGA,Forest Reserve,Not Reported,36711
Bakoun,GIN,Classified Forest,Not Reported,29435
Baku,GHA,Forest Reserve,Not Reported,40700
Bakura Tureta,NGA,Forest Reserve,Not Reported,36342
Balam,TGO,Forest Reserve,Not Reported,300807
Balayan-Souroumba,GIN,Classified Forest,Not Reported,29425
Bam Ngelzarma,NGA,Forest Reserve,Not Reported,36427
Bambaya,GIN,Classified Forest,Not Reported,29453
Bambou,BFA,Classified Forest,Not Reported,28568
Banco,CIV,National Park,II,725
Bandai Hills,GHA,Forest Reserve,Not Reported,40862
Bandama-Blanc,CIV,Classified Forest,Not Reported,29615
Bandama Rouge,CIV,Classified Forest,Not Reported,300794
Bani,GIN,Classified Forest,Not Reported,29417
Banie,GIN,Classified Forest,Not Reported,29380
Banifing Baoule,MLI,Partial Wildlife Reserve,IV,555556061
Bansie,BFA,Classified Forest,Not Reported,28569
Bantaji,NGA,Forest Reserve,Not Reported,36730
Bantarawel,GIN,Classified Forest,Not Reported,29367
Banzana,MLI,Hunting Area,VI,555556058
Baobolon Wetland Reserve,GMB,"Ramsar Site, Wetland of International Importance",Not Applicable,145529
Baoule,MLI,National Park,II,2328
Baoule,TGO,Forest Reserve,Not Reported,37132
Baporo,BFA,Classified Forest,Not Reported,28551
Bara,NGA,Forest Reserve,Not Reported,36475
Barawa,NGA,Forest Reserve,Not Reported,36288
Barburam,NGA,Forest Reserve,Not Reported,36265
Barkedji Dodji,SEN,Not Reported,Not Reported,352617
Barkoissi,TGO,Forest Reserve,Not Reported,37133
Baro,GIN,Classified Forest,Not Reported,29446
Barrage,BFA,Classified Forest,Not Reported,28534
Bas-Ogou,TGO,Forest Reserve,Not Reported,37134
Bashari,NGA,Forest Reserve,Not Reported,36458
Bassari-Montagne,TGO,Forest Reserve,Not Reported,37136
Basse-Casamance,SEN,National Park,II,868
Baturiya Wetland,NGA,"Ramsar Site, Wetland of International Importance",Not Applicable,903105
Baturiya Wetlands,NGA,Game Reserve,IV,7872
Bauni,NGA,Forest Reserve,Not Reported,36170
Bayawa,NGA,Forest Reserve,Not Reported,36418
Bayeme,TGO,Forest Reserve,Not Reported,300905
Bayota,CIV,Classified Forest,Not Reported,300892
Bazairam,NGA,Forest Reserve,Not Reported,36202
Bbaobolon,GMB,Wetland Reserve,Not Reported,31330
Bdoule,CIV,Classified Forest,Not Reported,300776
Beauvois,GIN,Classified Forest,Not Reported,29375
Bediako,GHA,Forest Reserve,Not Reported,40795
Beh'Ho,TGO,Forest Reserve,Not Reported,37137
Beji,NGA,Forest Reserve,Not Reported,36604
Beki Bosse Matie,CIV,Classified Forest,Not Reported,29500
Belare,NGA,Forest Reserve,Not Reported,36336
Bellefoungou,BEN,Classified Forest,Not Reported,32995
Bellel,GIN,Classified Forest,Not Reported,29373
Bem-Bem,SEN,Not Reported,Not Reported,352627
Bemu,GHA,Forest Reserve,Not Reported,40796
Ben East,GHA,Forest Reserve,Not Reported,40848
