name,country,designation,iucn_cat,WDPAID
Iseyin West,NGA,Forest Reserve,Not Reported,36803
Ishan Aiyede,NGA,Forest Reserve,Not Reported,36790
Isheagu,NGA,Forest Reserve,Not Reported,36997
Ishieki,NGA,Forest Reserve,Not Reported,36923
Isiamaigbo,NGA,Forest Reserve,Not Reported,36955
Issia,CIV,Classified Forest,Not Reported,300899
Ivi-Ada-Obi,NGA,Forest Reserve,Not Reported,36928
Iwa River,NGA,Forest Reserve,Not Reported,36581
Jabi Rawa,NGA,Forest Reserve,Not Reported,36320
Jagali,NGA,Forest Reserve,Not Reported,36506
Jaja,NGA,Forest Reserve,Not Reported,36653
Jajere,NGA,Forest Reserve,Not Reported,36246
Jalingo,NGA,Forest Reserve,Not Reported,36713
Jangasiri,NGA,Forest Reserve,Not Reported,36432
Jankai,NGA,Forest Reserve,Not Reported,36492
Jaori,NGA,Forest Reserve,Not Reported,36444
Jarawa Hill,NGA,Forest Reserve,Not Reported,300737
Jare,NGA,Forest Reserve,Not Reported,36386
Jauro River,NGA,Forest Reserve,Not Reported,36513
Jauro Tukur,NGA,Forest Reserve,Not Reported,36482
Jawo,NGA,Forest Reserve,Not Reported,36413
Jema Asemkrom,GHA,Forest Reserve,Not Reported,40841
Jenere,NGA,Forest Reserve,Not Reported,36459
Jeni River,GHA,Forest Reserve,Not Reported,40679
Jere,NGA,Forest Reserve,Not Reported,36542
Jerwa,NGA,Forest Reserve,Not Reported,36426
Jimbum,NGA,Forest Reserve,Not Reported,36248
Jimira Extension,GHA,Forest Reserve,Not Reported,303955
Jimira,GHA,Forest Reserve,Not Reported,40762
Jogble,TGO,Forest Reserve,Not Reported,300913
Kabacha,NGA,Forest Reserve,Not Reported,36648
Kabakaba Hills,GHA,Forest Reserve,Not Reported,26509
Kabama,NGA,Forest Reserve,Not Reported,36391
Kabela,GIN,Classified Forest,Not Reported,29428
Kabo River,GHA,Forest Reserve,Not Reported,26510
Kabo,NGA,Forest Reserve,Not Reported,36624
Kabobi,NGA,Forest Reserve,Not Reported,36193
Kabore-Tambi,BFA,National Park,II,1049
Kabou-Montagne,TGO,Forest Reserve,Not Reported,37151
Kade Bepo,GHA,Forest Reserve,Not Reported,40783
Kadobi,NGA,Forest Reserve,Not Reported,36190
Kafa Kurmi,NGA,Forest Reserve,Not Reported,36682
Kafanchan,NGA,Forest Reserve,Not Reported,36664
Kafarati,NGA,Forest Reserve,Not Reported,36491
Kafnikoro,NGA,Forest Reserve,Not Reported,36615
Kagorko,NGA,Forest Reserve,Not Reported,36646
Kagurna,NGA,Forest Reserve,Not Reported,36564
Kaibaki North,NGA,Forest Reserve,Not Reported,36313
Kaibaki South,NGA,Forest Reserve,Not Reported,36314
Kaikaimako,NGA,Forest Reserve,Not Reported,36174
Kainji Lake,NGA,National Park,II,819
Kajeasi,GHA,Forest Reserve,Not Reported,40803
Kakanda Hills,NGA,Forest Reserve,Not Reported,36764
Kakangi,NGA,Forest Reserve,Not Reported,36368
Kakara,NGA,Forest Reserve,Not Reported,36909
Kakau,NGA,Forest Reserve,Not Reported,36565
Kakiwargi,NGA,Forest Reserve,Not Reported,36892
Kakrima,GIN,Classified Forest,Not Reported,29397
Kakum,GHA,National Park,II,26460
Kala,GIN,Classified Forest,Not Reported,29385
Kalakpa,GHA,Game Production Reserve,VI,5152
Kalalawa,NGA,Forest Reserve,Not Reported,36245
Kalio,BFA,Classified Forest,Not Reported,313435
Kaloum,GIN,Classified Forest,Not Reported,29330
Kalsingi Hills,NGA,Forest Reserve,Not Reported,36488
Kaltungo Hill,NGA,Forest Reserve,Not Reported,36694
Kaltungo,NGA,Forest Reserve,Not Reported,36693
Kalunta,NGA,Forest Reserve,Not Reported,37023
Kalurwa,NGA,Forest Reserve,Not Reported,36211
Kamarimi,NGA,Forest Reserve,Not Reported,36623
Kamatan,NGA,Forest Reserve,Not Reported,300870
Kambari,NGA,Game Reserve,IV,11596
Kambari,NGA,Forest Reserve,Not Reported,36710
Kambia,GIN,Classified Forest,Not Reported,29372
Kambui Hills and Extensions,SLE,Forest Reserve,Not Reported,303925
Kambui South,SLE,Forest Reserve,Not Reported,29972
Kamesso,CIV,Classified Forest,Not Reported,300814
Kampe River,NGA,Forest Reserve,Not Reported,36759
Kamuku,NGA,National Park,II,7874
Kanawa,NGA,Forest Reserve,Not Reported,36505
Kandawa,NGA,Forest Reserve,Not Reported,36292
Kande River,NGA,Forest Reserve,Not Reported,36722
Kandenbelli,GHA,Forest Reserve,Not Reported,303942
Kangari Hills,SLE,Forest Reserve,VI,5180
Kani kani,GHA,Forest Reserve,Not Reported,303951
Kanoma Gabiya,NGA,Forest Reserve,Not Reported,36325
Kapo,BFA,Classified Forest,Not Reported,28572
Kara,TGO,Forest Reserve,Not Reported,300762
Karaduwa,NGA,Forest Reserve,Not Reported,36295
Karaka Plantation,GHA,Forest Reserve,Not Reported,303939
Karanja,GHA,Forest Reserve,Not Reported,303945
Karfe Binji,NGA,Forest Reserve,Not Reported,36167
Kari,BFA,Classified Forest,Not Reported,28524
Kariya,NGA,Forest Reserve,Not Reported,36396
Karlahi,NGA,Forest Reserve,Not Reported,36706
Karmo,NGA,Forest Reserve,Not Reported,36640
Karnowa,NGA,Forest Reserve,Not Reported,36236
Karoka,NGA,Forest Reserve,Not Reported,36760
Karonmajigi,NGA,Forest Reserve,Not Reported,36642
Kasa Kogi,NGA,Forest Reserve,Not Reported,36728
Kasanu,NGA,Forest Reserve,Not Reported,300720
Kasewe,SLE,Forest Reserve,Not Reported,303923
Kashimbila,NGA,Game Reserve,IV,11597
Kassa,CIV,Classified Forest,Not Reported,300919
Katerma,NGA,Forest Reserve,Not Reported,36566
Katika,NGA,Forest Reserve,Not Reported,36257
Katsina-Ala,NGA,Forest Reserve,Not Reported,36896
Katsina,NGA,Forest Reserve,Not Reported,36289
Kaugama Motso,NGA,Forest Reserve,Not Reported,36280
Kavi,CIV,Classified Forest,Not Reported,300931
Kawara,NGA,Forest Reserve,Not Reported,36343
Kaya,NGA,Forest Reserve,Not Reported,36311
Kazura,NGA,Forest Reserve,Not Reported,36262
Keaun Suna,NGA,Forest Reserve,Not Reported,36173
Keffi,NGA,Forest Reserve,Not Reported,36732
Kemini,TGO,Forest Reserve,Not Reported,37152
Keniebaoule,MLI,Total Wildlife Reserve,IV,2325
Kenjimiram,NGA,Forest Reserve,Not Reported,36232
Keran,TGO,National Park,II,2339
Kesewa,NGA,Forest Reserve,Not Reported,36443
Ketou,BEN,Classified Forest,Not Reported,5157
Khabitaye,GIN,Classified Forest,Not Reported,29333
Khadar,SEN,Not Reported,Not Reported,352614
Khogue,SEN,Not Reported,Not Reported,352621
Khogue,SEN,Forest Reserve,Not Reported,352650
Kiang West,GMB,National Park,Not Reported,2289
Kilboa,NGA,Forest Reserve,Not Reported,36205
Kilimi,SLE,National Park,Not Reported,555555549
Kimbirila,CIV,Classified Forest,Not Reported,29623
Kindja,TGO,Forest Reserve,Not Reported,37153
Kinging,NGA,Forest Reserve,Not Reported,36470
Kinkene,CIV,Classified Forest,Not Reported,29567
Kir Hill,NGA,Forest Reserve,Not Reported,36523
Kirfi Hill,NGA,Forest Reserve,Not Reported,36474
Kiri,NGA,Forest Reserve,Not Reported,300810
Kirmin Agyaga,NGA,Forest Reserve,Not Reported,36680
Kirmin Nunkuchu,NGA,Forest Reserve,Not Reported,36679
Klemu Headwaters,GHA,Forest Reserve,Not Reported,26511
Klouamian,CIV,Classified Forest,Not Reported,300838
Kobo,CIV,Classified Forest,Not Reported,29600
Koflande,BFA,Classified Forest,Not Reported,7516
Kogha,CIV,Classified Forest,Not Reported,29546
Kogin Kano,NGA,Forest Reserve,Not Reported,36389
Kogin Zur,NGA,Forest Reserve,Not Reported,36466
Kogo,NGA,Forest Reserve,Not Reported,36378
Kogo,NGA,National Park,Not Reported,62087
Kogum River,NGA,Forest Reserve,Not Reported,36657
Kogyae,GHA,Strict Nature Reserve,Ia,1543
Kokoh,CIV,Classified Forest,Not Reported,300963
Kokomto,NGA,Forest Reserve,Not Reported,36698
Kokotintin Shelterbelt,GHA,Forest Reserve,Not Reported,40680
Komadugu Gana,NGA,Forest Reserve,Not Reported,36247
Komala,NGA,Forest Reserve,Not Reported,36453
Kona,NGA,Forest Reserve,Not Reported,36553
Konduga,NGA,Forest Reserve,Not Reported,36451
Kongossambougou,MLI,Wildlife Reserve,IV,2324
Kongouko,BFA,Classified Forest,Not Reported,313442
Koni,GIN,Classified Forest,Not Reported,29478
Konkoure Fetto,GIN,Classified Forest,Not Reported,29377
Kontagora,NGA,Forest Reserve,Not Reported,36568
Konza Kourou,CIV,Classified Forest,Not Reported,300754
Kora,GIN,Classified Forest,Not Reported,29396
Korama Kurumi,NGA,Forest Reserve,Not Reported,36304
Kouadikro,CIV,Classified Forest,Not Reported,300826
Kouatie,TGO,Forest Reserve,Not Reported,300735
Koularo,TGO,Forest Reserve,Not Reported,37156
Koulbi,BFA,Classified Forest,Not Reported,28547
Koulima,BFA,Classified Forest,Not Reported,28574
Koumban-Kourou,GIN,Classified Forest,Not Reported,29442
Kourani-Oulete- Dienne,GIN,Classified Forest,Not Reported,29443
Kouroufing,MLI,National Park,II,317195
Kourtiagou,BFA,Partial Faunal Reserve,IV,3226
Kpandu Range Dayi Block,GHA,Forest Reserve,Not Reported,26513
Kpandu Range West,GHA,Forest Reserve,Not Reported,26516
Kpashimi,NGA,Forest Reserve,Not Reported,36757
Kpeyafo,NGA,Forest Reserve,Not Reported,36593
Kpime,TGO,Forest Reserve,Not Reported,37154
Kpo Mountains,LBR,National Park,Not Reported,555512166
Kra,TGO,Forest Reserve,Not Reported,300867
Kravassou,CIV,Classified Forest,Not Reported,300910
Krochua,GHA,Forest Reserve,Not Reported,40734
Krokosua Hills FoR,GHA,Forest Reserve,Not Reported,33145
Krowam,GHA,Forest Reserve,Not Reported,26573
Krozalie,CIV,Classified Forest,Not Reported,29570
Kua,BFA,Classified Forest,Not Reported,313427
Kuchigi,NGA,Forest Reserve,Not Reported,36600
Kudu,NGA,Forest Reserve,Not Reported,36590
Kuduge,NGA,Forest Reserve,Not Reported,36589
Kukangiwa,NGA,Forest Reserve,Not Reported,36264
Kukar Jangara,NGA,Forest Reserve,Not Reported,36331
Kukawa,NGA,Forest Reserve,Not Reported,36212
Kukwaba,NGA,Forest Reserve,Not Reported,36641
Kulpawn Headwaters,GHA,Forest Reserve,Not Reported,26522
Kulpawn Tributaries,GHA,Forest Reserve,Not Reported,35161
Kumawu Waters,GHA,Forest Reserve,Not Reported,26574
Kumbo,GHA,Forest Reserve,Not Reported,26446
Kumo,NGA,Forest Reserve,Not Reported,36511
Kuna Hill,NGA,Forest Reserve,Not Reported,36533
Kurba,NGA,Forest Reserve,Not Reported,342475
Kurmayai,NGA,Forest Reserve,Not Reported,36327
Kurmi Adebi,NGA,Forest Reserve,Not Reported,36748
Kurmi Agori,NGA,Forest Reserve,Not Reported,36725
Kurmi Agudu,NGA,Forest Reserve,Not Reported,36741
Kurmi Agyaragu,NGA,Forest Reserve,Not Reported,36742
Kurmi Akanga,NGA,Forest Reserve,Not Reported,36749
Kurmi Akeno,NGA,Forest Reserve,Not Reported,36747
Kurmi Akura,NGA,Forest Reserve,Not Reported,36723
Kurmi Kurayi,NGA,Forest Reserve,Not Reported,36724
Kurmi Maiakuya,NGA,Forest Reserve,Not Reported,36739
Kurmi Maisamari,NGA,Forest Reserve,Not Reported,36745
Kurmi Tagwaye North,NGA,Forest Reserve,Not Reported,36734
Kurmi Tagwaye South,NGA,Forest Reserve,Not Reported,36737
Kurmin Bakin Kogin,NGA,Forest Reserve,Not Reported,36548
Kurmin Danki,NGA,Forest Reserve,Not Reported,36907
Kurmin Kogi,NGA,Forest Reserve,Not Reported,36394
Kurmin Male,NGA,Forest Reserve,Not Reported,36540
Kurra Jekko,NGA,Forest Reserve,Not Reported,36672
Kuru Hills,SLE,Forest Reserve,Not Reported,10733
Kurumi Zano,NGA,Forest Reserve,Not Reported,36765
Kusoru,NGA,Forest Reserve,Not Reported,36650
Kusoziko,NGA,Forest Reserve,Not Reported,36595
Kusur,NGA,Forest Reserve,Not Reported,36227
Kutigi,NGA,Forest Reserve,Not Reported,36592
Kuyambana,NGA,Game Reserve,Not Reported,5156
Kuzosiko,NGA,Forest Reserve,Not Reported,36777
Kwaimbana,NGA,Forest Reserve,Not Reported,300710
Kwakuti,NGA,Forest Reserve,Not Reported,342480
Kwakwa,NGA,Forest Reserve,Not Reported,36587
Kwamisa,GHA,Forest Reserve,Not Reported,40776
Kwankiro,NGA,Forest Reserve,Not Reported,36364
Kwari Kwasa,NGA,Forest Reserve,Not Reported,36350
Kwaya Tera,NGA,Forest Reserve,Not Reported,36502
Kwekaru,GHA,Forest Reserve,Not Reported,40804
Kwogin Kerami,NGA,Forest Reserve,Not Reported,36539
Kwoiba,NGA,Forest Reserve,Not Reported,36222
Kwongoma,NGA,Forest Reserve,Not Reported,36555
Kyabobo,GHA,National Park,Not Reported,68788
Kyarana,NGA,Forest Reserve,Not Reported,36402
L'Alibori Superieur,BEN,Classified Forest,Not Reported,6953
L'Amana,GIN,Classified Forest,Not Reported,29445
La Lama-Sud,BEN,Classified Forest,Not Reported,33005
La Lama Nord,BEN,Classified Forest,Not Reported,5158
La Mare aux hippopotames,BFA,"Ramsar Site, Wetland of International Importance",Not Applicable,67823
La Mare d'Oursi,BFA,"Ramsar Site, Wetland of International Importance",Not Applicable,67822
La mare de Dan Doutchi,NER,"Ramsar Site, Wetland of International Importance",Not Applicable,902738
La mare de Lassouri,NER,"Ramsar Site, Wetland of International Importance",Not Applicable,902739
La mare de Tabalak,NER,"Ramsar Site, Wetland of International Importance",Not Applicable,902740
La Sota,BEN,Classified Forest,Not Reported,6951
Laba,BFA,Classified Forest,Not Reported,28553
Labar,NGA,Forest Reserve,Not Reported,36559
Laboni,GHA,Forest Reserve,Not Reported,303959
Lac Fitri,TCD,"Ramsar Site, Wetland of International Importance",Not Applicable,30017
Lafia Gongola State,NGA,Forest Reserve,Not Reported,36695
Lafia Plateau State,NGA,Forest Reserve,Not Reported,36740
Lafiagi Oro,NGA,Forest Reserve,Not Reported,300793
Lafiagi,NGA,Forest Reserve,Not Reported,36776
Lagoa de Cufada,GNB,"Ramsar Site, Wetland of International Importance",Not Applicable,29806
Lagoas de Cufada,GNB,Natural Park,Not Reported,33048
Laigbede,NGA,Forest Reserve,Not Reported,36792
Lainde,NGA,Forest Reserve,Not Reported,36701
Laine,GIN,Classified Forest,Not Reported,29488
Laka,CIV,Classified Forest,Not Reported,29556
Lake Alo,NGA,Forest Reserve,Not Reported,36450
Lake Chad Wetlands in Nigeria,NGA,"Ramsar Site, Wetland of International Importance",Not Applicable,903113
Lake Piso,LBR,National Park,Not Reported,555542457
Lakes of Ounianga,TCD,World Heritage Site,Not Applicable,555547987
Lalay,SLE,Forest Reserve,Not Reported,29986
Lambo,GHA,Forest Reserve,Not Reported,26564
Lame-Burra,NGA,Game Reserve,IV,7860
Lame,NGA,Forest Reserve,Not Reported,36512
Lamto,CIV,National Reserve,Ia,555547526
Lamurde,NGA,Forest Reserve,Not Reported,36696
Langai,NGA,Forest Reserve,Not Reported,36683
Langue de Barbarie,SEN,National Park,II,869
Lanlate,NGA,Forest Reserve,Not Reported,36806
Lantang,NGA,Forest Reserve,Not Reported,36687
Lapale,CIV,Classified Forest,Not Reported,300753
Lefarani,GIN,Classified Forest,Not Reported,29357
Lekki,NGA,Strict Nature Reserve,Ia,26627
Lema,NGA,Forest Reserve,Not Reported,36165
Lembi,NGA,Forest Reserve,Not Reported,36480
Lemsikari,NGA,Forest Reserve,Not Reported,36462
Leraba,CIV,Classified Forest,Not Reported,29586
Libere,NGA,Forest Reserve,Not Reported,36552
Liji Hills,NGA,Forest Reserve,Not Reported,36490
Lili,TGO,Forest Reserve,Not Reported,37155
Limanti,NGA,Forest Reserve,Not Reported,36447
Limoro,NGA,Forest Reserve,Not Reported,36541
Linde Sud,SEN,Not Reported,Not Reported,352624
Little Osse,NGA,Forest Reserve,Not Reported,36835
Lizai,NGA,Forest Reserve,Not Reported,36407
Loffa,GIN,Classified Forest,Not Reported,29461
Log-boyo,CIV,Classified Forest,Not Reported,300800
Logoniegue,BFA,Classified Forest,Not Reported,28564
Logozohe,BEN,Classified Forest,Not Reported,33007
Lokwoja,NGA,Forest Reserve,Not Reported,36464
Loma Mountains,SLE,National Park,Not Reported,29968
Loma Mountains,SLE,No or Non - Hunting Forest Reserve,II,8517
Lopboho,CIV,Classified Forest,Not Reported,300759
Lougbo,CIV,Classified Forest,Not Reported,300743
Lougguere Todji,SEN,Not Reported,Not Reported,352613
Lower Enyong,NGA,Forest Reserve,Not Reported,37018
Lower Imo River,NGA,Forest Reserve,Not Reported,37028
Lower Kaduna-Middle Niger Floodplain,NGA,"Ramsar Site, Wetland of International Importance",Not Applicable,903108
Lower Orashi River,NGA,Forest Reserve,Not Reported,37031
Mabi-Yaya,CIV,Classified Forest,Not Reported,29506
Mada River North,NGA,Forest Reserve,Not Reported,36656
Mada River South,NGA,Forest Reserve,Not Reported,36655
Madagine,NGA,Forest Reserve,Not Reported,36223
Madalla,NGA,Forest Reserve,Not Reported,36636
Madara,NGA,Forest Reserve,Not Reported,36408
Madatai,NGA,Forest Reserve,Not Reported,36191
Madjoari,BFA,Faunal Reserve,IV,9265
Mafa,CIV,Classified Forest,Not Reported,29552
Mafa,NGA,Forest Reserve,Not Reported,36457
Mafuta,NGA,Forest Reserve,Not Reported,36254
Maharai,NGA,Forest Reserve,Not Reported,36676
Mai-Ido,NGA,Forest Reserve,Not Reported,36551
Mai Hula,NGA,Forest Reserve,Not Reported,36719
Mai Samari,NGA,Forest Reserve,Not Reported,36903
Maifari,NGA,Forest Reserve,Not Reported,36260
Maigazari,NGA,Forest Reserve,Not Reported,36286
Maiwado,NGA,Forest Reserve,Not Reported,36284
Maje Abuchi,NGA,Forest Reserve,Not Reported,36635
Maje East,NGA,Forest Reserve,Not Reported,36398
Maje West,NGA,Forest Reserve,Not Reported,36390
Maki,NGA,Forest Reserve,Not Reported,36471
Makona,GIN,Classified Forest,Not Reported,29459
Makurdi Fuel,NGA,Forest Reserve,Not Reported,36871
Maladumba,NGA,Forest Reserve,Not Reported,36419
Malal Hills,SLE,Forest Reserve,Not Reported,29982
Malechana,NGA,Forest Reserve,Not Reported,36434
Mallamji,NGA,Forest Reserve,Not Reported,36339
Mamang River,GHA,Forest Reserve,Not Reported,40806
Mamiri,GHA,Forest Reserve,Not Reported,40839
Mamu River,NGA,Forest Reserve,Not Reported,36965
Manda,TCD,National Park,II,642
Mande Wula,MLI,Wildlife Reserve,II,555556064
Mande Wula,MLI,North Migration Zone,VI,555556051
Mandelia,TCD,Faunal Reserve,IV,5166
Mando Road North,NGA,Forest Reserve,Not Reported,36560
Mando Road South,NGA,Forest Reserve,Not Reported,36561
Mando,CIV,Classified Forest,Not Reported,29542
Mando,NGA,Forest Reserve,Not Reported,36557
Mankrang,GHA,Forest Reserve,Not Reported,40777
Mansoa,GNB,Forest Reserve,Not Reported,342662
Manu,NGA,Forest Reserve,Not Reported,36169
Manzan,CIV,Classified Forest,Not Reported,29498
Manzan,GHA,Forest Reserve,Not Reported,40816
Maradun,NGA,Forest Reserve,Not Reported,36323
Marafa,NGA,Forest Reserve,Not Reported,36627
Marago River,GHA,Forest Reserve,Not Reported,26447
Marahoue,CIV,National Park,II,722
Marahoue,CIV,Classified Forest,Not Reported,300879
Marama Hill,NGA,Forest Reserve,Not Reported,36463
Marbe,NGA,Forest Reserve,Not Reported,36365
Mare aux Hippopotames,BFA,Bird Reserve,IV,28581
Mare d'Oursi Bird Sanctuary,BFA,Sanctuary,Not Reported,13749
Margibi Mangrove,LBR,National Park,Not Reported,555542456
Marguba,NGA,Forest Reserve,Not Reported,36441
Maribara,NGA,Forest Reserve,Not Reported,36317
Maro,BFA,Classified Forest,Not Reported,28576
Maru Bongudu,NGA,Forest Reserve,Not Reported,36376
Massa Me,CIV,Classified Forest,Not Reported,300932
Massif du Ziama,GIN,Classified Forest,Not Reported,29066
Matanfada,NGA,Forest Reserve,Not Reported,36300
Matiemba,CIV,Classified Forest,Not Reported,29545
Matsago,NGA,Forest Reserve,Not Reported,36283
Matsena,NGA,Forest Reserve,Not Reported,36203
Mawarta,NGA,Forest Reserve,Not Reported,36460
Mawashi,NGA,Forest Reserve,Not Reported,36298
Mawbia,GHA,Forest Reserve,Not Reported,26524
Mawulli,NGA,Forest Reserve,Not Reported,36217
Mayo Ndaga,NGA,Forest Reserve,Not Reported,36911
Mazanbiya,NGA,Forest Reserve,Not Reported,36186
Mbaafon,NGA,Forest Reserve,Not Reported,36915
Mbaav 1,NGA,Forest Reserve,Not Reported,36882
Mbaav 2,NGA,Forest Reserve,Not Reported,36883
Mbaava,NGA,Forest Reserve,Not Reported,36888
Mbahura,NGA,Forest Reserve,Not Reported,36917
Mbakoso,NGA,Forest Reserve,Not Reported,36916
Mbakpa,NGA,Forest Reserve,Not Reported,36874
Mbamsjrom,NGA,Forest Reserve,Not Reported,36897
Mbanue,NGA,Forest Reserve,Not Reported,36876
Mbatan,NGA,Forest Reserve,Not Reported,36884
Mbatiav,NGA,Forest Reserve,Not Reported,36890
Mbe Mountains,NGA,Community Forest,Not Reported,354002
Mbegue,SEN,Not Reported,Not Reported,352631
Meko,NGA,Game Reserve,Not Reported,11599
Meko,NGA,Forest Reserve,Not Reported,36800
Mele,NGA,Forest Reserve,Not Reported,36255
Meleri,NGA,Forest Reserve,Not Reported,36220
Meringa North West,NGA,Forest Reserve,Not Reported,36500
Milo,GIN,Classified Forest,Not Reported,29460
Minna,NGA,Forest Reserve,Not Reported,36605
Minta,GHA,Forest Reserve,Not Reported,40851
Mirasa Hills,GHA,Forest Reserve,Not Reported,40866
Mirire,GIN,Classified Forest,Not Reported,29384
Missahoe,TGO,Forest Reserve,Not Reported,37159
Miti Kambadaga,GIN,Classified Forest,Not Reported,29388
Mkar,NGA,Forest Reserve,Not Reported,36895
Mohono,NGA,Forest Reserve,Not Reported,36334
Molai,NGA,Forest Reserve,Not Reported,36449
Mole,GHA,National Park,II,669
Moma,NGA,Forest Reserve,Not Reported,36215
Mombeya,GIN,Classified Forest,Not Reported,29382
Monda,TGO,Forest Reserve,Not Reported,37160
Mongu,NGA,Forest Reserve,Not Reported,36685
Monkin,NGA,Forest Reserve,Not Reported,36715
Monogaga,CIV,Classified Forest,Not Reported,29640
Mont Peko,CIV,National Park,II,724
Mont Sangbe,CIV,National Park,II,723
Monts Kouffe,BEN,Classified Forest,Not Reported,6956
Mopri,CIV,Classified Forest,Not Reported,29503
Mount Nimba,CIV,National Reserve,Ia,1295
Mount Nimba,GIN,Strict Nature Reserve,Ia,29067
Moyenne Marahoue,CIV,Classified Forest,Not Reported,300824
Mozum,NGA,Forest Reserve,Not Reported,36852
Mpameso,GHA,Forest Reserve,Not Reported,40758
Mt Amalo,TGO,Forest Reserve,Not Reported,300738
Mt Ba,CIV,Classified Forest,Not Reported,29524
Mt Balan,GIN,Classified Forest,Not Reported,29331
Mt Balandougou,GIN,Classified Forest,Not Reported,29353
Mt Bolo,CIV,Classified Forest,Not Reported,300955
Mt De,CIV,Classified Forest,Not Reported,300829
Mt Ko,CIV,Classified Forest,Not Reported,29617
Mt Konossou,GIN,Classified Forest,Not Reported,29470
Mt Kouya,GIN,Classified Forest,Not Reported,29468
Mt Loura,GIN,Classified Forest,Not Reported,29412
Mt Manda,CIV,Classified Forest,Not Reported,29618
Mt Sainte-Cavally,CIV,Classified Forest,Not Reported,300897
Mt Sassandra,CIV,Classified Forest,Not Reported,300853
Mt Tetini,GIN,Classified Forest,Not Reported,29487
Mt Tia,CIV,Classified Forest,Not Reported,29614
Mt Yonon,GIN,Classified Forest,Not Reported,29472
Mudu,NGA,Forest Reserve,Not Reported,36221
Mungurum,NGA,Forest Reserve,Not Reported,36266
Muni,NGA,Forest Reserve,Not Reported,36319
Muro,GHA,Forest Reserve,Not Reported,40817
Musa,NGA,Forest Reserve,Not Reported,36628
N'Dama,GIN,Classified Forest,Not Reported,29410
N'Guidou,GIN,Classified Forest,Not Reported,29415
N'zi Superieure,CIV,Classified Forest,Not Reported,300782
N'Zo,CIV,Partial Faunal Reserve,IV,2293
N Zodji,CIV,Classified Forest,Not Reported,300948
Naanabi,NGA,Forest Reserve,Not Reported,36281
Nabardo,NGA,Forest Reserve,Not Reported,36518
Nabere,BFA,Classified Forest,Not Reported,313428
Nafada,NGA,Forest Reserve,Not Reported,36437
Nakabe,BFA,Classified Forest,Not Reported,28550
Nakambe,BFA,Classified Forest,Not Reported,313441
Nami Hill,NGA,Forest Reserve,Not Reported,36630
Namtari,NGA,Forest Reserve,Not Reported,36700
Nandom-Lambussie,GHA,Forest Reserve,Not Reported,26525
Nangbyon,CIV,Classified Forest,Not Reported,300809
Nasarawa Northern Kaduna,NGA,Forest Reserve,Not Reported,36707
Nasarawa,NGA,Forest Reserve,Not Reported,342477
Nasarawa,NGA,Forest Reserve,Not Reported,36393
Nasarawa,NGA,Forest Reserve,Not Reported,342477
Nasarawa,NGA,Forest Reserve,Not Reported,36393
Nasia Tributaries,GHA,Forest Reserve,Not Reported,26448
Natiwah,TGO,Forest Reserve,Not Reported,37164
Navrongo North,GHA,Forest Reserve,Not Reported,303938
Nazinon,BFA,Classified Forest,Not Reported,28555
Ndiael,SEN,Wildlife Reserve,IV,5178
Ndokouassikro,CIV,Classified Forest,Not Reported,300872
Ndumfri,GHA,Forest Reserve,Not Reported,40831
Nema Wula,MLI,South Buffer Zone,IV,555556050
Nema Wula,MLI,Wildlife Reserve,II,555556063
Neung  South,GHA,Forest Reserve,Not Reported,40832
Neung North,GHA,Forest Reserve,Not Reported,303956
Ngala,NGA,Forest Reserve,Not Reported,36219
Ngamzagi,NGA,Forest Reserve,Not Reported,36206
Nganda Nganda,CIV,Classified Forest,Not Reported,300964
Ngel - Nyaki,NGA,Forest Reserve,Not Reported,36904
Ngohingulde,NGA,Forest Reserve,Not Reported,36467
Nguechie,CIV,Classified Forest,Not Reported,29509
Nguroje,NGA,Forest Reserve,Not Reported,36910
Nialama or Nyalama,GIN,Classified Forest,Not Reported,317286
Niangoloko,BFA,Classified Forest,Not Reported,28565
Nibi Hana,CIV,Classified Forest,Not Reported,300947
Niegre,CIV,Classified Forest,Not Reported,29635
Nienendougou,MLI,Wildlife Reserve,IV,555556059
Nienendougou,MLI,Hunting Area,VI,555556055
Nimba West,LBR,National Park,Not Reported,20175
Nimbia,NGA,Forest Reserve,Not Reported,36668
Nimini South,SLE,Forest Reserve,Not Reported,29973
Ningishi Hills,NGA,Forest Reserve,Not Reported,36677
Nini-Suhien,GHA,National Park,II,5173
Ninjam,NGA,Forest Reserve,Not Reported,36663
Niocha,NGA,Forest Reserve,Not Reported,36951
Niokolo-Koba National Park,SEN,World Heritage Site,Not Applicable,2580
Niokolo Koba,SEN,National Park,II,865
Niouma,BFA,Classified Forest,Not Reported,28557
Niouniourou,CIV,Classified Forest,Not Reported,29637
Niumi National Park,GMB,"Ramsar Site, Wetland of International Importance",Not Applicable,109037
Niumi,GMB,National Park,II,2290
Nizoro,CIV,Classified Forest,Not Reported,300930
Nkachu-Ituku,NGA,Forest Reserve,Not Reported,36954
Nkawanda,GHA,Forest Reserve,Not Reported,40784
Nkisi River,NGA,Forest Reserve,Not Reported,36963
Nkonto Ben,GHA,Forest Reserve,Not Reported,40852
Nkrabia,GHA,Forest Reserve,Not Reported,40682
Nono,GIN,Classified Forest,Not Reported,29448
North Bandai Hills,GHA,Forest Reserve,Not Reported,40889
North Fomangsu,GHA,Forest Reserve,Not Reported,40787
North Tangaza,NGA,Forest Reserve,Not Reported,36166
